"Customweb_BNPMercanetCw::Authorization Failed","Authorisation failed"
"Customweb_BNPMercanetCw::Authorization Method","Authorisation Method"
"Customweb_BNPMercanetCw::Authorization is uncertain.","Authorisation is uncertain"
"Customweb_BNPMercanetCw::Authorized Status","Authorised status"
"Customweb_BNPMercanetCw::Await Notification","Await Notification"
"Customweb_BNPMercanetCw::Awaiting confirmation","Awaiting confirmation"
"Customweb_BNPMercanetCw::BIC","BIC"
"Customweb_BNPMercanetCw::Bad signature format.","False signature format."
"Customweb_BNPMercanetCw::Bank Location","Bank Location"
"Customweb_BNPMercanetCw::Bank Name","Bank Name"
"Customweb_BNPMercanetCw::Bank account number","Bank account number (IBAN)"
"Customweb_BNPMercanetCw::Bank code number","Bank code number"
"Customweb_BNPMercanetCw::Before payment selection","Before selection of the payment method"
"Customweb_BNPMercanetCw::Billing Address","Billing Address"
"Customweb_BNPMercanetCw::Billing Information","Billing information"
"Customweb_BNPMercanetCw::Billing address","Billing address"
"Customweb_BNPMercanetCw::Black Card","Black Card"
"Customweb_BNPMercanetCw::Brand Name","Brand Name"
"Customweb_BNPMercanetCw::By pass 3D secure","Bypass 3D secure"
"Customweb_BNPMercanetCw::By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","With the capture setting, the transaction can be captured directly after the order or later manually over the backend of the store."
"Customweb_BNPMercanetCw::CVC Code","CVC Code"
"Customweb_BNPMercanetCw::Can not be empty","Can not be empty"
"Customweb_BNPMercanetCw::Cancel","Cancel"
"Customweb_BNPMercanetCw::Cancel ID","Cancel ID"
"Customweb_BNPMercanetCw::Cancel pending orders when out of stock","Cancel pending orders when out of stock"
"Customweb_BNPMercanetCw::Cancel status","Cancel status"
"Customweb_BNPMercanetCw::Canceled BNPMercanetCw","Canceled BNPMercanetCw"
"Customweb_BNPMercanetCw::Canceling of this payment not possible!","Cancellation of this payment not possible!"
"Customweb_BNPMercanetCw::Cancelled Status","Cancelled status"
"Customweb_BNPMercanetCw::Cannot update item quantity.","Cannot update item quantity."
"Customweb_BNPMercanetCw::Capture Amount","Amount to capture"
"Customweb_BNPMercanetCw::Capture Delay","Capture Delay"
"Customweb_BNPMercanetCw::Capture ID","Capture ID"
"Customweb_BNPMercanetCw::Capture amount","Capture amount"
"Customweb_BNPMercanetCw::Capture information","Capture information"
"Customweb_BNPMercanetCw::Capture status","Capture status"
"Customweb_BNPMercanetCw::Capture: Don't Close","Capture: Don't close"
"Customweb_BNPMercanetCw::Captured Amount","Captured amount"
"Customweb_BNPMercanetCw::Captured Status","Captured status"
"Customweb_BNPMercanetCw::Captures","Captures"
"Customweb_BNPMercanetCw::Captures & Refunds","Captures & Refunds"
"Customweb_BNPMercanetCw::Capturing","Capturing"
"Customweb_BNPMercanetCw::Capturing Delay","Capture Delay"
"Customweb_BNPMercanetCw::Card Expiration","Expiry Date"
"Customweb_BNPMercanetCw::Card Holder Name","Card holder name"
"Customweb_BNPMercanetCw::Card Number","Card number"
"Customweb_BNPMercanetCw::Carrier Title","Carrier Title"
"Customweb_BNPMercanetCw::Check out faster","Check out faster"
"Customweb_BNPMercanetCw::Check to activate the external checkout.","Check to activate the external checkout."
"Customweb_BNPMercanetCw::Checkout","Checkout"
"Customweb_BNPMercanetCw::Checkout as Guest","Checkout as a guest"
"Customweb_BNPMercanetCw::Checkout as a Guest or Register","Checkout as a guest or register"
"Customweb_BNPMercanetCw::Checkout as a new customer","Checkout as a new customer"
"Customweb_BNPMercanetCw::Checkout using your account","Checkout using your account"
"Customweb_BNPMercanetCw::Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status","Choose settlement after order in case you want an invoice to be created with your order. The status of the invoice will be set according to your specified capture status."
"Customweb_BNPMercanetCw::Company Commercial Number","Company Commercial Number"
"Customweb_BNPMercanetCw::Confirm Password","Confirm Password"
"Customweb_BNPMercanetCw::Continue","Continue"
"Customweb_BNPMercanetCw::Corporate Card","Corporate Card"
"Customweb_BNPMercanetCw::Could not convert object of type '!type' to string.","Could not convert object of type '!type' to string."
"Customweb_BNPMercanetCw::Could not find a brand for the given card number.","Could not find a brand for the given card number."
"Customweb_BNPMercanetCw::Could not find pressed button.","Could not find pressed button."
"Customweb_BNPMercanetCw::Could not find template file at default location '!location'.","Could not find template file at default location '!location'."
"Customweb_BNPMercanetCw::Could not find the payment method !paymentMethodName.","Could not find the payment method !paymentMethodName."
"Customweb_BNPMercanetCw::Could not load layout from URL !url. Reason: !reason","Could not load layout from URL !url. Reason: !reason"
"Customweb_BNPMercanetCw::Create Account","Create Account"
"Customweb_BNPMercanetCw::Create New Order - Payment","Create New Order - Payment"
"Customweb_BNPMercanetCw::Create a recurring payment, with an existing alias is not supported","Creating a recurring payment with an existing alias is not supported."
"Customweb_BNPMercanetCw::Creating an account has many benefits:","Creating an account has many benefits:"
"Customweb_BNPMercanetCw::Creation Date","Creation Date"
"Customweb_BNPMercanetCw::Credit Card Brands","Credit Card Brands"
"Customweb_BNPMercanetCw::Credit Memo History","Credit Memo History"
"Customweb_BNPMercanetCw::Credit Memo Totals","Credit Memo Totals"
"Customweb_BNPMercanetCw::Credit memo's total must be positive.","Credit memo's total must be positive."
"Customweb_BNPMercanetCw::Currency","Currency"
"Customweb_BNPMercanetCw::Current Configuration Scope:","Current Configuration Scope:"
"Customweb_BNPMercanetCw::Customer Account","Customer account"
"Customweb_BNPMercanetCw::Customer Alias Management","Customer Alias Management"
"Customweb_BNPMercanetCw::Customer successfully returned from BNPMercanetCw","Customer successfully returned from BNPMercanetCw"
"Customweb_BNPMercanetCw::Customer successfully returned from BNP Paribas Mercanet","Customer successfully returned from the BNPMercanetCw payment page."
"Customweb_BNPMercanetCw::Customer sucessfully returned from the BNPMercanetCw payment page.","Customer successfully returned from the BNPMercanetCw payment page."
"Customweb_BNPMercanetCw::Customers","Customers"
"Customweb_BNPMercanetCw::Customweb","Customweb"
"Customweb_BNPMercanetCw::Date","Date"
"Customweb_BNPMercanetCw::Date of Birth","Date of birth"
"Customweb_BNPMercanetCw::Day","Day"
"Customweb_BNPMercanetCw::Deactivate","Deactivate"
"Customweb_BNPMercanetCw::Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest.","Dear customer we have received your billing and shipping information. In order to finalize your order please create an account below or checkout as a guest."
